mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,spectral_centroid,spectral_bandwidth,spectral_rolloff,jitter,shimmer,label
-290.2909080238762,-3.022498766093309,-11.939754794624324,14.413361487113566,-29.338525351798403,-6.225109733880484,-13.912187197972761,-4.974747108972728,-5.739393702992629,-3.507031369588421,-0.8493146342279075,-0.9785526883461956,-6.856611353166409,1273.619403747654,1569.8705415851748,3012.0,0.024466258639202928,0.030422401501469763,real
-317.62654307880337,-10.544797017998494,-10.153917638872786,14.606771661951521,-35.278055006947746,-8.073807301903793,-11.862063885061861,-5.657495576837818,-10.3524405590537,-9.260336884661875,-1.7788674230473298,-1.1957789641826668,-4.673328138695278,1503.707310027069,1713.0943658339781,3569.0,0.01817757348981357,0.021651786056515382,real
-282.6430949572071,-1.475714598723597,-19.455544475869075,14.651241383204031,-30.796374132446314,-11.588897145833249,-18.32087572912044,-9.362891376108617,-8.021931379706103,-6.338759885671068,-1.701488494548331,1.8007775372464012,-1.090529473964084,1284.5595158793426,1512.0706771085167,2941.0,0.026973202426886566,0.03228724670358346,real
-338.8185088365726,-14.170498421945993,-34.626434068097076,-4.213149729444261,-22.01894519319217,-12.292336097208008,-11.172628322096127,-9.922054452745266,-7.727164453869175,1.8563795513040882,4.978170866170137,0.16842096281799726,-9.60090184817657,1463.6422289522811,1529.946311196498,2881.0,0.016219423178175305,0.01998691538493211,real
-329.4388894211848,-7.836764217941686,-32.16797945177496,-1.143348894588895,-21.816186691499386,-9.501068564066802,-10.659588400115405,-10.943488251981798,-3.7323430619983786,0.9166552920589089,-3.5773121844190716,-5.435309681187833,-8.46172484266407,1370.9728367359621,1487.9847859945346,2827.0,0.017412050219431475,0.021297090296819813,real
-304.99756216749296,-9.558430415055847,-45.884710371009355,-10.659967319924922,-26.12817110293778,-13.589027783291769,-14.913594107703693,-8.56171177071503,-3.3129907348606706,-7.517380554772323,-5.814455549325669,3.469957942656868,0.9931679896042596,1436.225607538511,1525.8107406401634,2968.0,0.024623306002368475,0.029319382744305223,real
-279.49215235088167,-4.399118497887902,-23.195500491505133,10.55901742359337,-29.6651258599778,-6.933511623642596,-17.333778784701853,-7.3568596213781845,-4.902729121277623,-3.871774285840489,3.3831449330929413,3.7380862136831707,-1.3448761255049837,1349.8944006049826,1543.5498204737864,3110.0,0.026929728715914647,0.03187417212884793,real
-292.6469235130332,-9.681837080974404,-20.761012798828208,13.128543830277895,-29.67144852341751,-9.336737906284222,-16.290778904968118,-6.1575743309205535,-6.449685353411691,-5.167492182270231,0.24723823700105352,1.0338747018311572,-2.8877190406301665,1381.1717730077114,1571.3286558421153,3192.0,0.02339247440647469,0.028143376774877164,real
-279.5335261139193,-4.416942301277853,-19.629974830058487,13.348644001712412,-29.735221899784317,-5.8664295485369164,-18.53683251990353,-9.518443098069488,-6.759729206155685,-5.137690916440533,2.0857486005910584,3.213439947197152,-0.5062978352736988,1302.5392132930886,1536.993325342081,3084.0,0.02709482111616532,0.03208982711342462,real
-303.81200113844676,-10.392784978478785,-14.216090354437327,18.338472002252875,-25.6609220287748,-11.381021371023547,-14.555663787402324,-2.9198900385632123,-2.0709391033931803,-1.1497037023306307,2.843514084314795,4.555774948931067,-2.893265003138199,1461.0959561420893,1672.2939841991022,3361.0,0.021396114465473938,0.02552450495554153,real
-313.7053343463519,-8.750997599803494,-45.64349470877959,-11.148832169570841,-23.951456884733176,-11.08723856023406,-12.049168573385158,-7.7170488238973265,-4.131829628327986,-8.307659232272183,-3.3187908482009254,6.016845074268068,0.990399404275928,1355.1792435274356,1447.5321083590836,2684.0,0.022478055677262056,0.02631337114263998,real
-338.82431479347304,-13.400245484112936,-33.676878296583034,-3.5721335224042257,-21.737855483214,-11.223096054172983,-10.49473875841186,-10.438129803469197,-6.6796427674582945,1.832757543615192,3.0910918059141688,-1.1549942317570323,-9.026154064040693,1460.6306840404088,1554.2879820134638,2950.0,0.01555089458922879,0.019045679309133225,real
-277.37787212903373,-3.084006261943061,-25.33261306267282,8.095915397545353,-32.1359218622793,-12.248473545778793,-17.611210959226025,-6.037568401870697,-5.1350241395888405,-4.112879159900612,1.4925846324771836,2.3121432866254943,-1.4884070815434463,1345.056780621846,1520.9978441737765,3035.0,0.027760153363701447,0.033004655272390805,real
-295.030380851628,-10.041340596416703,-18.693140407226142,14.558607313881378,-28.33469092427176,-9.118343698616268,-16.403729759860543,-5.497997542725796,-5.314927376080342,-4.807240162466511,0.14671759558388256,1.1768776599988373,-2.7369707961703127,1398.8740438357768,1588.0475708162778,3236.0,0.022849749626379562,0.027338032850698694,real
-279.1121123671005,-3.8410683170571316,-23.72789467499779,9.732644763586487,-30.330557774377354,-8.036330674198714,-17.28604921175239,-6.711381125527955,-4.962564337775233,-3.416309020923253,3.132712344951496,4.0476013272472064,-1.5600186043448079,1332.449201608751,1520.736559464947,3036.0,0.027079878876280373,0.032041255646209,real
-281.78736820030224,-0.8531399815139935,-22.666793840740013,11.28583775930358,-31.72389850196506,-12.166305976556826,-17.784523152570497,-9.022960223094449,-8.123790252835075,-7.23009911287766,-2.0369653764481797,2.1501438196781506,-2.266711528751962,1282.9185336751016,1506.6650303300926,2897.0,0.027034668763714752,0.03239967379511736,real
-280.34063855554325,-4.541755037879796,-25.418280018181278,9.684112417047295,-30.90994826296619,-11.805481600196488,-16.726331807904327,-4.84083238295369,-5.960651063303839,-4.75261003456412,0.10599991711142245,2.060506151734138,-1.0724542807957986,1345.6983753625757,1534.6344131222415,3037.0,0.026669734377360903,0.031865261734678685,real
-288.2340800571611,-3.0556228139888066,-12.097299676877798,13.621307241745344,-28.970217000566088,-6.367109880037648,-13.140402940910654,-5.032067900300104,-5.391018424928211,-3.5744970016780906,-0.6318693733608972,-1.1236458849713882,-6.749087130565036,1293.549243237848,1582.4049951710788,3034.0,0.025192295044623423,0.03140139205639636,real
-213.12205288579605,-13.937810187256614,-40.58519894198699,1.9026934844632164,-13.593562166716843,-3.083275191097438,-11.713336136510682,0.2385496554686239,-4.390785572524842,-7.850489731022851,-11.068989972001175,-0.51682813160887,-2.8834380222218656,1519.443377841963,1533.2339702885097,3055.0,0.06256938941796221,0.07303187345981084,real
-291.61099769151485,0.6391617616760581,-17.481846083634807,12.021853137596326,-36.09448215855233,-9.666880011820055,-14.839497637536736,-5.561185290358824,-4.562587840854801,-7.0036830095799525,-4.08118776516696,-2.9325059155660482,-3.2214735621796895,1254.0641264977085,1507.3975578455718,2967.0,0.023805263267357296,0.02863275004038668,real
-337.19604222366496,-12.547611030525912,-33.677053367870904,-3.3387741869071403,-21.196506630937076,-10.22728626802505,-10.03616659680111,-10.980173486485297,-5.701497357388197,2.056992286151748,1.831901000479333,-1.8913417572377917,-9.33198155049363,1441.6678253789548,1532.3621205380814,2907.0,0.01574410312442855,0.019188770648351686,real
-318.263452076483,-10.225900812285174,-10.78523489946018,14.32285107908372,-35.71749229758042,-7.598782144923892,-12.624515310048535,-5.652730486973285,-10.155273811143687,-9.092150322788406,-1.9002172309165808,-2.0128014443069877,-4.5072548537148815,1499.0731994213468,1707.057027597648,3566.0,0.017981991583871957,0.021487607685800943,real
-211.87946595743557,-14.852520061603698,-41.03317312849505,1.9302638967005623,-13.19560695272366,-2.8780522716985613,-11.213011187987817,0.5619922691908693,-4.0269737555574645,-8.087469471629399,-11.456022797863238,-0.23368529919010314,-2.0563334392143062,1533.8519935936913,1540.2580797916012,3079.0,0.06371720479867689,0.0740580134573234,real
-322.6793980985981,-13.071323949773248,-8.873046750197926,16.961082516308803,-35.60853917257874,-7.961552093635899,-13.367316564309945,-3.746292701000283,-7.122494709944649,-8.195667341636744,-1.7852875901519543,-2.5085398872969273,-4.20134829272571,1541.9406238407284,1724.776602686542,3622.0,0.017309408957975992,0.020674571570162278,real
-299.5829417663277,-9.21891714319082,-15.93653274880731,15.387837518949366,-29.142364569819655,-11.90712225748905,-16.541659160895456,-5.467500038429141,-3.6594982527735134,-1.9266520904310653,0.9951763953235266,1.6830993996279613,-3.4798560728286705,1489.6865257370928,1659.8631211961479,3396.0,0.02224744826365505,0.026573347583497456,real
-303.52781002603143,-8.205113402840032,-13.127604724792713,17.36141411832415,-25.518996166632537,-11.376269640321544,-14.112777309769648,-3.4800511011166337,-3.0781952196273172,-1.1588550409222207,3.2650137509602986,5.485123233677194,-2.736463199126956,1441.080979303901,1668.4190891728124,3342.0,0.021200410800386666,0.02537799327607312,real
-281.3432501859612,-2.955811397047707,-13.936280182926058,12.054647086472025,-27.642185944546267,-5.83578335176562,-13.07131241580766,-6.2646085224329076,-5.709173156778653,-3.156434850931043,-1.4738520183488986,-1.9294406422966102,-8.960220967860621,1310.67835215311,1573.4078141819853,3023.0,0.02757692097021939,0.03459216189564018,real
-288.97189396665414,0.706213599566555,-18.33541139745883,11.504607141289506,-36.16699535359605,-9.722203694714537,-15.23296827305411,-5.33244859643995,-4.312997533487982,-6.7237934070128205,-4.491199424374476,-2.29142527926112,-3.2080296486778086,1244.0091509374927,1488.4849598628225,2922.0,0.024381606953394367,0.029285536873700977,real
-293.34302348145263,-7.676771831028251,-37.09223095166988,-4.226152706097218,-26.381712074127456,-11.733849854161667,-16.923461546117835,-8.941702355859274,-2.057196419932651,-4.962317587953925,-6.833282570395843,1.006436332910937,-1.1428147192401499,1471.093398891168,1578.2513390060635,3180.0,0.02603331948828355,0.032003360868593886,real
-297.69618734767477,-11.300604784348979,-17.720226899629672,16.054819577485482,-27.455596236430484,-9.096742768610978,-16.417938086760373,-6.324446999962868,-5.34380834355967,-4.4512649420774935,-0.6028437137399288,0.9075517769712695,-3.289535449031824,1499.008485061939,1643.3824068389874,3404.0,0.022103691176751174,0.026304360299444742,real
-217.80681745731877,-13.000125989165683,-38.13374059048236,3.7307609479105412,-13.194915222495647,-2.666017262956113,-12.723842683047794,-0.16358437625063543,-4.970691988609997,-6.9163717470971156,-10.95289156457564,-1.4812461247979634,-3.462569296158386,1500.3294802373423,1543.9471155655972,3033.0,0.06001158387752451,0.07092955808244487,real
-287.2057646462586,0.036890548739257324,-19.717431846941142,11.159982992445004,-34.507981855966044,-9.36413112294881,-15.846880219141608,-5.287708506694975,-4.4147900916077525,-7.491854071887788,-4.861677148896473,-2.6286909331780186,-3.1149406769601984,1259.5067311113373,1495.991616447766,2940.0,0.02468247362804009,0.02957856819979774,real
-317.80472646136906,-10.270011552123524,-10.440212035275902,14.815421610085968,-35.49336307158276,-7.998394011782962,-12.030120305095835,-5.710225084956726,-10.313006847763411,-9.384225130037024,-1.7239555322945574,-1.3390512788208182,-4.56893560626294,1499.8205543823374,1708.3646719410062,3566.0,0.018148446744557616,0.021644163293789462,real
-293.8776270445369,-5.641868738662273,-15.083504632159315,15.77476095336461,-32.065718392440175,-7.703431545326999,-14.76059291517763,-2.865258383052719,-5.996504750472619,-5.8852611633657945,-0.8980484531348714,-0.7444799099908321,-5.201982968686448,1316.9500532262657,1573.8489010566184,3168.0,0.02272424368120621,0.027125199429353625,real
-209.70700702931777,-14.944226978804725,-40.700659678381996,2.0866897632557335,-12.731626417064954,-2.5596483762819027,-10.770469009331144,1.0144725236734853,-2.590369278211766,-7.015130523244822,-11.34130792082125,-0.3892710279011219,-1.7554738697147512,1553.7624933373377,1553.2994014947005,3124.0,0.06433859235684028,0.07493831404453395,real
-303.9565007464819,-9.516952711980668,-12.99422474119188,18.27085126338359,-25.206902261846714,-11.679463397437713,-14.306150782869837,-2.8143116276279967,-1.8881144204149478,-1.1546753037289161,3.160204159650611,4.6832587460860475,-2.8252592172356095,1462.5487057482405,1678.9443840703645,3359.0,0.02117912810880283,0.025323739731533002,real
-329.979711681121,-13.754661496162855,-37.89893603839674,-6.348787229595575,-22.235959088786696,-11.816230681153609,-9.883704153080322,-7.77220426396048,-10.95552926139751,-4.580729032381438,4.516393997411275,6.418322335735407,-6.466922359019852,1444.7952937398775,1510.6378132678171,2852.0,0.01872069112441535,0.023063859005859895,real
-217.3410893574002,-12.653025078244731,-38.21755251984863,3.8049296684804497,-13.02933347734792,-2.7164535703173334,-12.543888245103856,-0.0028859460810076866,-4.853165940126173,-6.940947409501333,-10.927868093555782,-1.2773803012065126,-3.3416889267075955,1494.1855230091464,1539.7453370580713,3023.0,0.06010694948289318,0.07101226659557262,real
-279.0372761894119,-4.130947899452754,-25.384505142369505,8.1287052187009,-31.476468135285028,-10.309695101174583,-17.13660824004219,-6.194061526890161,-4.810163075228777,-4.35076192318305,1.9991923551617985,3.11711395793576,-1.385117718761688,1357.592407629958,1540.9574628461664,3059.0,0.027350037628388755,0.03239045281316453,real
-279.6293809110638,-3.959789846506436,-23.37316462782898,10.506171794958309,-29.888168394860497,-7.068327985133264,-17.421433725239062,-7.344185619379301,-5.072596651855701,-3.5780334211957303,3.575356156982618,3.961916937719346,-1.4153621018145925,1338.7060591247266,1529.9911975678986,3072.0,0.02689947919523829,0.03181065285387037,real
-285.61034591206936,-5.7298281749780955,-17.527706356398,15.669345919847817,-29.980770197687235,-9.309154582238717,-18.899086043439265,-10.553797184170623,-9.897281767210625,-6.6247106008808405,-1.4297281070667673,2.2880112137818944,0.9101805959359178,1359.369676561709,1575.377126675481,3190.0,0.02576064442814647,0.03069561923701175,real
-256.6774952298003,2.445971983060698,-33.3283078999813,7.004188354288068,-17.981264433618314,-1.4079450513634169,-8.446513120065786,-3.625545707847431,-4.813777228670815,-6.366615169197247,-7.9837726105216165,-2.4516491250824624,-6.157530123326687,1362.5411194750347,1509.9275102016086,2886.0,0.041257667415205326,0.05325752835792482,real
-218.7445085840094,-13.3014808339541,-37.77665768455309,4.124680586319012,-13.111221164515792,-2.5549497737808005,-12.35575498113844,-0.4072955544297656,-5.691687653437964,-6.636969730795129,-10.552715300198207,-1.4403682987890003,-3.971143377303632,1515.7407696910261,1548.2225549831041,3046.0,0.060023822912555085,0.07083459850783526,real
-297.7348317438797,-10.642445842040987,-17.675722143067336,16.00232790527256,-28.01793891164607,-10.183935140464913,-16.957733535772284,-6.239614090105939,-5.58922335221313,-4.581685209129627,-0.7462650535481972,1.0935089095450203,-3.530171395165204,1490.1714500636206,1639.3197472651154,3388.0,0.022103841676481675,0.026394492585907675,real
-217.91648977014205,-13.03401249861832,-38.00998116485846,3.6896946999456337,-13.154803924350032,-2.7725918697417216,-12.747606733997602,-0.3477695258571489,-4.990238240788837,-6.955694405863249,-10.720185437324822,-1.4837632754111594,-3.474653772672838,1495.683057640529,1545.4457758405379,3027.0,0.059903723404530915,0.07078945969608134,real
-296.6140560645133,-4.416161882879522,-14.230589340937719,15.360010228221977,-31.473547298349892,-8.208386932452854,-15.893108107610061,-4.020058805953101,-6.257749642367532,-5.787187989741263,-0.889625978513052,-0.9840405087070441,-4.910911068288474,1317.7240916479468,1577.5237654223213,3171.0,0.022031032669770963,0.026342507411584858,real
